BudgetDate,Open,High,Low,AdjClose,PrevDayClose,ChangePer,DaySwingPer,GapUpDown
28-Feb-11,5330,5477,5309,5333,5304,0.6,3.2,1
16-Mar-12,5380,5446,5305,5318,5381,-1.2,2.7,-1
28-Feb-13,5834,5850,5672,5693,5797,-1.8,3.1,1
17-Feb-14,6057,6081,6038,6073,6048,0.4,0.7,1
10-Jul-14,7590,7731,7479,7568,7585,-0.2,3.4,1
28-Feb-15,8913,8941,8751,8902,8845,0.6,2.2,1
29-Feb-16,7050,7095,6826,6987,7030,-0.6,3.9,1
1-Feb-17,8570,8722,8538,8716,8561,1.8,2.2,1
1-Feb-18,11045,11117,10879,11017,11028,-0.1,2.2,1
1-Feb-19,10851,10983,10813,10894,10831,0.6,1.6,1
5-Jul-19,11965,11982,11798,11811,11947,-1.1,1.6,1
1-Feb-20,11939,12017,11633,11662,11962,-2.5,3.3,-1
1-Feb-21,13759,14336,13662,14281,13635,4.7,4.9,1
1-Feb-22,17529,17622,17245,17577,17340,1.4,2.2,1